instance_id,seed,num_customers,num_vehicles,vehicle_capacity,vehicle_pair,pair_rank,block_id,block_size,state_count,baseline_distance,exact_best_distance,best_improvement,has_improvement,improving_state_count,improving_state_ratio,single_bit_local_trap,minimum_required_flips,feasible_state_ratio,capacity_repair_ratio,spearman_qubo_true_distance,true_optimum_qubo_rank,current_bitstring,qubo_best_bitstring,true_best_bitstring
seed010_pair1_B1_w6,10,30,3,36,0-2,1,B1,6,64,138.3824564428696,135.93583635369993,2.44662008916967,True,13,0.203125,False,1,0.03125,0.96875,0.4885723697271889,26,001000,001000,111000
seed010_pair1_B2_w6,10,30,3,36,0-2,1,B2,6,64,138.3824564428696,135.8633716722484,2.519084770621191,True,36,0.5625,False,1,0.09375,0.90625,0.39166666666666666,43,111000,101000,000011
seed010_pair1_B3_w6,10,30,3,36,0-2,1,B3,6,64,138.3824564428696,135.8401686200326,2.5422878228369825,True,46,0.71875,False,1,0.15625,0.84375,0.03677160871263229,6,011101,010101,001101
seed010_pair2_B1_w6,10,30,3,36,1-2,2,B1,6,64,138.3824564428696,125.18475529201996,13.197701150849639,True,63,0.984375,False,1,1.0,0.0,0.18667582417582415,5,111111,000000,100000
seed010_pair2_B2_w6,10,30,3,36,1-2,2,B2,6,64,138.3824564428696,134.6032680481861,3.7791883946835014,True,60,0.9375,False,1,0.984375,0.015625,0.17994505494505492,18,111111,001000,010001
seed010_pair2_B3_w6,10,30,3,36,1-2,2,B3,6,64,138.3824564428696,134.851315153484,3.5311412893856016,True,19,0.296875,False,1,0.671875,0.328125,0.604529227948335,5,100111,000000,000001
seed010_pair1_B1_w8,10,30,3,36,0-2,1,B1,8,256,138.3824564428696,135.18441279583578,3.1980436470338134,True,40,0.15625,False,1,0.03125,0.96875,0.34086414163226547,137,10001000,10001000,11111000
seed010_pair1_B2_w8,10,30,3,36,0-2,1,B2,8,256,138.3824564428696,135.57685518034023,2.8056012625293647,True,182,0.7109375,False,1,0.1171875,0.8828125,-0.1622531080873842,253,01111001,01010001,11101111
seed010_pair1_B3_w8,10,30,3,36,0-2,1,B3,8,256,138.3824564428696,134.78469039248614,3.5977660503834556,True,110,0.4296875,False,1,0.078125,0.921875,0.17389827156819346,229,11000001,01000001,11110111
seed010_pair2_B1_w8,10,30,3,36,1-2,2,B1,8,256,138.3824564428696,124.82710438417331,13.555352058696286,True,239,0.93359375,False,1,0.94140625,0.05859375,0.04304617761501487,18,11111111,00000000,10100000
seed010_pair2_B2_w8,10,30,3,36,1-2,2,B2,8,256,138.3824564428696,134.13101856987763,4.251437872991971,True,125,0.48828125,False,1,0.90625,0.09375,0.6914885836657249,65,00101111,00001000,00011100
seed010_pair2_B3_w8,10,30,3,36,1-2,2,B3,8,256,138.3824564428696,132.87410606314776,5.508350379721833,True,65,0.25390625,False,1,0.86328125,0.13671875,0.46584456366558974,1,11110110,00000010,00000010
seed011_pair1_B1_w6,11,40,4,36,0-3,1,B1,6,64,109.91468184729763,108.92675010668836,0.9879317406092696,True,34,0.53125,False,1,0.796875,0.203125,0.011083123716272751,27,001111,000011,011110
seed011_pair1_B2_w6,11,40,4,36,0-3,1,B2,6,64,109.91468184729763,108.9123313113333,1.0023505359643252,True,33,0.515625,False,1,0.265625,0.734375,0.21845238095238093,48,000010,000000,110101
seed011_pair1_B3_w6,11,40,4,36,0-3,1,B3,6,64,109.91468184729763,109.526405789974,0.3882760573236226,True,13,0.203125,False,1,0.453125,0.546875,0.5597985347985347,53,001001,000000,001111
